错误句子,正确句子
黄疸迅速加深，肝沖音界迅速缩小，有扑击样震颤及病理反射。,黄疸迅速加深，肝浊音界迅速缩小，有扑击样震颤及病理反射。
比如：预防感冒、家里不要养花和动物、不要经常下厨房做饭、以减少油烟的懈除、少吃海鲜等等、因为哮喘病人是一种过敏体质、所以一有不舒服就要及时去医院希望可以帮助到您,比如：预防感冒、家里不要养花和动物、不要经常下厨房做饭、以减少油烟的接触、少吃海鲜等等、因为哮喘病人是一种过敏体质、所以一有不舒服就要及时去医院希望可以帮助到您
您好，头痛只是个症状，病因很多，如偏头痛，血菅神经性头痛，三叉神经痛，枕大神经痛，，脑血管病，颈椎病，鼻窦炎，鼻炎，感冒都可能诱发。,您好，头痛只是个症状，病因很多，如偏头痛，血管神经性头痛，三叉神经痛，枕大神经痛，，脑血管病，颈椎病，鼻窦炎，鼻炎，感冒都可能诱发。
如果无套性交基本排除了，但需要三个月复查1，再多尿液也不会感燃2，肯定需要测三个月3，可以排除了4，不一定能早查出来5，都是最长三个月,如果无套性交基本排除了，但需要三个月复查1，再多尿液也不会感染2，肯定需要测三个月3，可以排除了4，不一定能早查出来5，都是最长三个月
以外用抗真菌药物，如达克宁霜等，如果炎症明显、搔痒严重，可以使用派瑞松软膏治疗,以外用抗真菌药物，如达克宁霜等，如果炎症明显、瘙痒严重，可以使用派瑞松软膏治疗
还可以空调温度太低，室内崴温度差距太大有关。,还可以空调温度太低，室内外温度差距太大有关。
要定期化验肝功能检查，如果转氨酶升高，提示体内病毒复制，积极采去保肝抗病毒治疗。,要定期化验肝功能检查，如果转氨酶升高，提示体内病毒复制，积极采取保肝抗病毒治疗。
要想摆脱尖锐湿疣的困扰，建议您选择专业正规的权威公立医院进行科学检查、治疗，争取早日治疗尖锐湿疣，过上建康快乐的生活。,要想摆脱尖锐湿疣的困扰，建议您选择专业正规的权威公立医院进行科学检查、治疗，争取早日治疗尖锐湿疣，过上健康快乐的生活。
你好，肿病组织无论在细胞形态和组织结构上，都与其发源的正常组织有不同程度的差异，这种差异称为异型性。,你好，肿瘤组织无论在细胞形态和组织结构上，都与其发源的正常组织有不同程度的差异，这种差异称为异型性。
您发一张图片，我看看疲朊状态下的。,您发一张图片，我看看疲软状态下的。
临床观察发现，手术后，血官瘤的复发率约为５％，但草莓壮血管瘤术后复发率较低。,临床观察发现，手术后，血管瘤的复发率约为５％，但草莓状血管瘤术后复发率较低。
如果给石小的话介意用西药进行药物治疗，如果大的话介意做年激光碎石，那样效果很好。,如果结石小的话介意用西药进行药物治疗，如果大的话介意做年激光碎石，那样效果很好。
你好，并没有什么特效止痛药，需要在医生指导下用一些止涌药如杜冷丁等治疗。,你好，并没有什么特效止痛药，需要在医生指导下用一些止痛药如杜冷丁等治疗。
术后辅助放射治疗和中医药治疗，可以使患者得到不错的郁后，并且有效延长患者的生命。,术后辅助放射治疗和中医药治疗，可以使患者得到不错的预后，并且有效延长患者的生命。
精液检查前最好禁姓生活3天到1周,精液检查前最好禁性生活3天到1周
你好朋友，根据您说的情况，先用呼析机维持生命。,你好朋友，根据您说的情况，先用呼吸机维持生命。
您好，鼻眼主要病毒感然引起的，表现为鼻赛，流清水涕，喉部不适，咳嗽等。,您好，鼻炎主要病毒感染引起的，表现为鼻塞，流清水涕，喉部不适，咳嗽等。
建议你还是积极的进行手术知疗为好，没有其他的办法的，药物无法有效的控制癌变,建议你还是积极的进行手术治疗为好，没有其他的办法的，药物无法有效的控制癌变
尿道炎主要的正状就是出现尿频，尿急尿痛，出现排尿不尽感和尿道烧灼感，如果说你现在有尿道炎，一定要注意多喝水，不要吃辛辣的食物，然后再口服一些三金片和左氧氟沙星片治疗，如果说你服了消炎药没有效果的话，就到医院做个尿常规看看。,尿道炎主要的症状就是出现尿频，尿急尿痛，出现排尿不尽感和尿道烧灼感，如果说你现在有尿道炎，一定要注意多喝水，不要吃辛辣的食物，然后再口服一些三金片和左氧氟沙星片治疗，如果说你服了消炎药没有效果的话，就到医院做个尿常规看看。
急性胃肠炎解决方法选择维持水、电解质及酸碱平衡：轻者可给予口服补液，重者应予竟脉补液，并注意补钾，保证身体机能的正常运行。,急性胃肠炎解决方法选择维持水、电解质及酸碱平衡：轻者可给予口服补液，重者应予静脉补液，并注意补钾，保证身体机能的正常运行。
您好，根据您所提供的情况考虑孩子伴有急性支气管炎的存在主要是由于病原体感染引起，可导致发热，咳嗽，气喘，咳痰等，目前可以口服药物或者雾化吸入治疗缓解症状，如果不见好转可考虑静脉输液治疗，平时注意孩子保暖定时检察体温情...,您好，根据您所提供的情况考虑孩子伴有急性支气管炎的存在主要是由于病原体感染引起，可导致发热，咳嗽，气喘，咳痰等，目前可以口服药物或者雾化吸入治疗缓解症状，如果不见好转可考虑静脉输液治疗，平时注意孩子保暖定时检查体温情...
宫劲肥大已经形成了以后，就不能再改变了，所以也不需要治疗。,宫颈肥大已经形成了以后，就不能再改变了，所以也不需要治疗。
肯定是不可以的，只是一种保建品。,肯定是不可以的，只是一种保健品。
你好，这种情况可能是在怀孕了之后体内的激素水平发生了变化，从而导致出现的情况，平时自己的心理压力也不要过大，放松自己，养成良好的睡眠习惯，要注意保暖，避免受凉等，还要适当的补充点人梯内的水分等。,你好，这种情况可能是在怀孕了之后体内的激素水平发生了变化，从而导致出现的情况，平时自己的心理压力也不要过大，放松自己，养成良好的睡眠习惯，要注意保暖，避免受凉等，还要适当的补充点人体内的水分等。
您好！手术治疗适用于局线的、面积不大的体表血管瘤，且术后不会影响美容者。,您好！手术治疗适用于局限的、面积不大的体表血管瘤，且术后不会影响美容者。
一般无需特殊的冶疗，当然如果比较多，也是可以使用激光或者冷冻来治疗的。,一般无需特殊的治疗，当然如果比较多，也是可以使用激光或者冷冻来治疗的。
"这是肝胃不好,肝气犯胃造成的,你只需要吃一个柴湖疏肝丸,或香砂沉气丸就可以了。","这是肝胃不好,肝气犯胃造成的,你只需要吃一个柴胡疏肝丸,或香砂沉气丸就可以了。"
可以考虑使用奥美拉唑、克拉霉素、甲硝唑这些药物治疗，注意饮食清炎、规律，避免劳累、敖夜，定期检查比较好。,可以考虑使用奥美拉唑、克拉霉素、甲硝唑这些药物治疗，注意饮食清淡、规律，避免劳累、熬夜，定期检查比较好。
主要年红纽胞总数和血红蚤白的量。,主要年红细胞总数和血红蛋白的量。
格林巴利综合症是一组神晶系统自身免疫性疾病。,格林巴利综合症是一组神经系统自身免疫性疾病。
多囊目前主要是药物治疗，诊断多囊的标准不是卵桌有3.5厘米，而是卵泡大于等于12个。,多囊目前主要是药物治疗，诊断多囊的标准不是卵巢有3.5厘米，而是卵泡大于等于12个。
部分性癫痫为躯体局部肌肉或知体的抽搐发作时间可能比较长一般没有意识丧失严重发作以后抽搐部位的肌肉可有暂时性马痹。,部分性癫痫为躯体局部肌肉或肢体的抽搐发作时间可能比较长一般没有意识丧失严重发作以后抽搐部位的肌肉可有暂时性麻痹。
你可以看看你所说的难受的时候去再查心电涂看看因为本来过敏的时候体内就有可能是放一些提升心率的物质射频消融书后一般是很少复发，虽然有但是不多，你要发作的时候就是你说的活动后，你可以所谓的轻微活动后看看心电图和正常对比,你可以看看你所说的难受的时候去再查心电图看看因为本来过敏的时候体内就有可能释放一些提升心率的物质射频消融术后一般是很少复发，虽然有但是不多，你要发作的时候就是你说的活动后，你可以所谓的轻微活动后看看心电图和正常对比
您好，根据您所提供的情况考虑孩子伴有急性支气管炎的存在主要是由于病原体感然引起，可导致发热，咳嗽，企喘，咳痰等，目前可以扣服药物或者雾化吸入治疗缓解症状，如果不见好转可考虑静脉输液治疗，平时注意孩子保暖定时检查体温情...,您好，根据您所提供的情况考虑孩子伴有急性支气管炎的存在主要是由于病原体感染引起，可导致发热，咳嗽，气喘，咳痰等，目前可以口服药物或者雾化吸入治疗缓解症状，如果不见好转可考虑静脉输液治疗，平时注意孩子保暖定时检查体温情...
你现在既然用了宫喜宁这个药，你可以在用药后去医院弗查，了解治疗的效果。,你现在既然用了宫喜宁这个药，你可以在用药后去医院复查，了解治疗的效果。
子宫肌瘤是女性常见的一种良性肿留如子宫月瘤迅速增大疑有恶变者应及时手术月经过多贫血危害身体降时要做手术.子宫肌瘤对人体生命安全威胁不大故2/3的病人不必急于手术治,子宫肌瘤是女性常见的一种良性肿瘤如子宫肌瘤迅速增大疑有恶变者应及时手术月经过多贫血危害身体降时要做手术.子宫肌瘤对人体生命安全威胁不大故2/3的病人不必急于手术治
您好！你的情况是己肝的情况，要先判断类型再进行治疗的乙肝的类型有很多种，主要根据你的乙肝病毒数进行分类，肝功能检查科明确肝脏的正常功能等等，首先要明确自身的乙肝病情。,您好！你的情况是乙肝的情况，要先判断类型再进行治疗的乙肝的类型有很多种，主要根据你的乙肝病毒数进行分类，肝功能检查科明确肝脏的正常功能等等，首先要明确自身的乙肝病情。
预防的方法避免人流手术，注意外生值器清洁。,预防的方法避免人流手术，注意外生殖器清洁。
"白点风一般是不容易根除的,目前治疗白癜风的药物有很多种,但是每一种药物都有一定的适应症,不一定适合所有患者,治疗不对症还会加重病情。","白癜风一般是不容易根除的,目前治疗白癜风的药物有很多种,但是每一种药物都有一定的适应症,不一定适合所有患者,治疗不对症还会加重病情。"
对清光眼最好先用药物治疗、若在最大药量下仍不能控制眼压、可考虑手术治疗、应先用低浓度的药液、后用高浓度的药液滴眼、并根据不同药物的有效降压作用时间、决定每天点药的次数、最重要的是要保证在24小时内能维持有效药量、睡前可用眼膏涂眼,对青光眼最好先用药物治疗、若在最大药量下仍不能控制眼压、可考虑手术治疗、应先用低浓度的药液、后用高浓度的药液滴眼、并根据不同药物的有效降压作用时间、决定每天点药的次数、最重要的是要保证在24小时内能维持有效药量、睡前可用眼膏涂眼
前列腺增生有，夜尿频多、尿频、排尿无为、尿线变细和尿滴沥，多发于中老年；。,前列腺增生有，夜尿频多、尿频、排尿无力、尿线变细和尿滴沥，多发于中老年；。
您好，根据您的描述来看病人现在考虑是淋巴瘤，恶性淋巴瘤是血液系统的恶性的肿瘤，对健康的微害是很大的，具体的治疗需根据具体的情况的建议你还是及时的就诊，如果是琳巴瘤的话一般不建议手术的，对化疗敏感的然后配合中医中药进行治疗，饮食上不宜吃辛辣的东西。,您好，根据您的描述来看病人现在考虑是淋巴瘤，恶性淋巴瘤是血液系统的恶性的肿瘤，对健康的危害是很大的，具体的治疗需根据具体的情况的建议你还是及时的就诊，如果是淋巴瘤的话一般不建议手术的，对化疗敏感的然后配合中医中药进行治疗，饮食上不宜吃辛辣的东西。
一般来说，饼干是不能单独存在的，会和乙肝一起存在的。,一般来说，丙肝是不能单独存在的，会和乙肝一起存在的。
你好，考虑跟不良的饮食习贯和生活习惯、感染有关的，要及时去医完看看，及时处理比较好。,你好，考虑跟不良的饮食习惯和生活习惯、感染有关的，要及时去医院看看，及时处理比较好。
乙肝主要是因为你体内有乙肝病都，你可以通过药物和饮食进行治疗，一般只要不出现严重性是不需要去医院复查的，但是刚治疗还是需要在一个约后进行复查。,乙肝主要是因为你体内有乙肝病毒，你可以通过药物和饮食进行治疗，一般只要不出现严重性是不需要去医院复查的，但是刚治疗还是需要在一个月后进行复查。
健康指导：你好，根据你的情况分析，你爷爷得的是，小细胞柿癌。,健康指导：你好，根据你的情况分析，你爷爷得的是，小细胞肺癌。
尖锐湿疣的这种情况是直菌感染发生瘙痒。,尖锐湿疣的这种情况是真菌感染发生瘙痒。
现在冰人的状况如何，有没有检查的报告单和CT／磁共振的片子，最好能把这些资料提供一下，以便于对治疗进行调整以及病情预后的评估。,现在病人的状况如何，有没有检查的报告单和CT／磁共振的片子，最好能把这些资料提供一下，以便于对治疗进行调整以及病情预后的评估。
宫颈炎摘除手术是个很小的操作，不心害怕，取出的宫颈炎送去做病理检查。,宫颈炎摘除手术是个很小的操作，不必害怕，取出的宫颈炎送去做病理检查。
宫颈松弛是女性的一种宫颈发育不全的现象，宫颈宋驰的治疗主要为手术矫治，使宫颈内口的形态和功能得以恢复。,宫颈松弛是女性的一种宫颈发育不全的现象，宫颈松弛的治疗主要为手术矫治，使宫颈内口的形态和功能得以恢复。
"第二,在夏季牛皮线减轻的季节怀孕,如果两者都具被的话,那是最好的了。","第二,在夏季牛皮癣减轻的季节怀孕,如果两者都具备的话,那是最好的了。"
你好根据你的你描述可能是因为检查有支气管笑喘引起的上述不适症状建议注意注意休息，可以吸入你的药物治疗，请你无需担心的，祝您早日康复身体健康！,你好根据你的你描述可能是因为检查有支气管哮喘引起的上述不适症状建议注意注意休息，可以吸入你的药物治疗，请你无需担心的，祝您早日康复身体健康！
你好，一般精神障碍的出现是异传与环境多种因素共同作用的结果，可以进行心理疗法盒药物疗法相结合进行调理，可以遵医嘱使用冰戊酸钠缓释片进行治理，平时需要调整好自己的状态，需要放松自己，建立积极乐观的心态,你好，一般精神障碍的出现是遗传与环境多种因素共同作用的结果，可以进行心理疗法和药物疗法相结合进行调理，可以遵医嘱使用丙戊酸钠缓释片进行治理，平时需要调整好自己的状态，需要放松自己，建立积极乐观的心态
适量的休息和按模可以缓解大腿酸痛，也可以选用适当的药膏涂末肌肉痛部位，但不建议吃止痛药。,适量的休息和按摩可以缓解大腿酸痛，也可以选用适当的药膏涂抹肌肉痛部位，但不建议吃止痛药。
期间避免吃生冷辛辣刺激容易上火的食物，必要的时候到医浣就诊治疗。,期间避免吃生冷辛辣刺激容易上火的食物，必要的时候到医院就诊治疗。
1、HPV的转阴时间一般在8月以上；2、大多数人为一过性感染，自身棉衣力可以将其清除；3、如果已使用保妇康栓3个疗程，仍为阳性，下一步处理：观察，定期复查；4、可以试孕。,1、HPV的转阴时间一般在8月以上；2、大多数人为一过性感染，自身免疫力可以将其清除；3、如果已使用保妇康栓3个疗程，仍为阳性，下一步处理：观察，定期复查；4、可以试孕。
自然卷，这个是没办法改变的，只能通过汤发，但是烫发不要经常烫发，建议可以买个电的夹头发的夹子，用这个就可以的，也不需要用药水，但是这个是需要每次洗头后夹才行的。,自然卷，这个是没办法改变的，只能通过烫发，但是烫发不要经常烫发，建议可以买个电的夹头发的夹子，用这个就可以的，也不需要用药水，但是这个是需要每次洗头后夹才行的。
建议您增加保健，如果有阴道异常分泌物的需要到正规医院妇科就医，根据医生的嘱咐，选用合适的药物调理，多喝红糖水具有保暖的功效，注意清洁的工生，饮食要清淡。,建议您增加保健，如果有阴道异常分泌物的需要到正规医院妇科就医，根据医生的嘱咐，选用合适的药物调理，多喝红糖水具有保暖的功效，注意清洁的卫生，饮食要清淡。
苹果熬水喝，可以将其中的维生素，矿物质有效十方出来，一般在饭后饮用一些，可以起到促进消化的作用。,苹果熬水喝，可以将其中的维生素，矿物质有效释放出来，一般在饭后饮用一些，可以起到促进消化的作用。
治t4型家亢需要1千-3千元。,治t4型甲亢需要1千-3千元。
您好，根据您的描述，您的情况脑水中到流管堵可能是血液凝块，也可能大量蛋白质分泌，您的情况需要到医院诊疗，明确诊断，针对性治疗，如果您对我的回复感到满意，请您在回复后面做出免费评价，谢谢！,您好，根据您的描述，您的情况脑水肿到流管堵可能是血液凝块，也可能大量蛋白质分泌，您的情况需要到医院诊疗，明确诊断，针对性治疗，如果您对我的回复感到满意，请您在回复后面做出免费评价，谢谢！
勃起不坚与阴茎动脉工血不足有关，可适当服用选择性阴茎动脉扩张药，如他达拉非、万艾可等。,勃起不坚与阴茎动脉供血不足有关，可适当服用选择性阴茎动脉扩张药，如他达拉非、万艾可等。
你好，这个主要是看赶工能情况，如果肝功正常是不用药物治疗的,你好，这个主要是看肝功能情况，如果肝功正常是不用药物治疗的
与代谢和内分泌有关，中医认为与肺胃热及脾虚始祖有关系。,与代谢和内分泌有关，中医认为与肺胃热及脾虚湿阻有关系。
癫痫是一种慢性疾病，需要长时间进行治疗，沿疗时间不同费用也不相同。,癫痫是一种慢性疾病，需要长时间进行治疗，治疗时间不同费用也不相同。
"建议您去正规医院进行治疗.治疗原则为发现湿疣存在应立即祛除.方法有纪光，液氮,微波,外用药物涂抹等.然后在行全身治疗，如输抗秉毒药物,赠强抵抗力药物等.","建议您去正规医院进行治疗.治疗原则为发现湿疣存在应立即祛除.方法有激光，液氮,微波,外用药物涂抹等.然后在行全身治疗，如输抗病毒药物,增强抵抗力药物等."
你好，如果确定是湿针，尽量寻找发病原婴，注意调正饮食，注意忌食辛辣刺激，避免进食易致敏的物品，如海鲜贝类食物应禁用、以清淡饮食为好。,你好，如果确定是湿疹，尽量寻找发病原因，注意调整饮食，注意忌食辛辣刺激，避免进食易致敏的物品，如海鲜贝类食物应禁用、以清淡饮食为好。
片仔内部结构看不清楚，黑乎乎的，脊柱侧弯明显。,片子内部结构看不清楚，黑乎乎的，脊柱侧弯明显。
人参高血压可能与免疫的机理、胎盘浅着床、遗传因素、营养缺乏等有关系，还有由于胎儿增大，子宫张力增高，年轻初产妇腹壁较紧，子宫的血液相应供应不足。,妊娠高血压可能与免疫的机理、胎盘浅着床、遗传因素、营养缺乏等有关系，还有由于胎儿增大，子宫张力增高，年轻初产妇腹壁较紧，子宫的血液相应供应不足。
你好，对于痔疮现在主要是轻者可以要务治疗配合注意饮食的对于较重的患者主要是手术治疗。,你好，对于痔疮现在主要是轻者可以药物治疗配合注意饮食的对于较重的患者主要是手术治疗。
再严重只能配助听器或手术了左耳是混合性的恐怕不能解除噪音了噪音对你的耳朵影响很大，继续下去听力会越来越差。,再严重只能配助听器或手术了左耳是混合性的恐怕不能接触噪音了噪音对你的耳朵影响很大，继续下去听力会越来越差。
荷叶茶具有咸肥瘦身、保护心血管、降血脂、清执解毒、镇静安神、利尿通便和滋阴止血等功效。,荷叶茶具有减肥瘦身、保护心血管、降血脂、清热解毒、镇静安神、利尿通便和滋阴止血等功效。
痤疮是与内分泌紊乱有关的毛囊炎，经抗感染治疗可以有效控制症状，但易因熬夜，饮酒，辛辣食物，便秘等因素诱发或加重，可以外用夫西地酸软膏，并口服克拉霉素与单身酮治疗，如配合红蓝光照射，效果更佳。,痤疮是与内分泌紊乱有关的毛囊炎，经抗感染治疗可以有效控制症状，但易因熬夜，饮酒，辛辣食物，便秘等因素诱发或加重，可以外用夫西地酸软膏，并口服克拉霉素与丹参酮治疗，如配合红蓝光照射，效果更佳。
你好，根据您的描述女性子宫内膜薄，多是雌极速水平过低引起的，可以考虑吃补佳乐来调理,你好，根据您的描述女性子宫内膜薄，多是雌激素水平过低引起的，可以考虑吃补佳乐来调理
你好，根据你说的情况是须要你给予抗惊厥对症治疗的，同时需要你定期到医院给予复察治疗的,你好，根据你说的情况是需要你给予抗惊厥对症治疗的，同时需要你定期到医院给予复查治疗的
发烧一般是上护膝道感染引起的最常见的是病毒感染病毒是有神经毒性的影响到脑部就引起了头晕、消化不良恶心那就应当吃点抗病毒的、助消化的、促进胃排空的以及增强机体抵抗力的,发烧一般是上呼吸道感染引起的最常见的是病毒感染病毒是有神经毒性的影响到脑部就引起了头晕、消化不良恶心那就应当吃点抗病毒的、助消化的、促进胃排空的以及增强机体抵抗力的
就是本外受精技术，这个是目前最广为采用的生殖辅助技术，正常的受孕需要精子和卵子在输卵管相遇，二者结合，形成受精卵，然后受精卵再回到子宫腔，继续妊娠。,就是体外受精技术，这个是目前最广为采用的生殖辅助技术，正常的受孕需要精子和卵子在输卵管相遇，二者结合，形成受精卵，然后受精卵再回到子宫腔，继续妊娠。
建议尽早去医院就诊一下消化内壳，具体检查确诊一下什么情况，好尽早对症治疗。,建议尽早去医院就诊一下消化内科，具体检查确诊一下什么情况，好尽早对症治疗。
建议还是急极彩操检查看看。,建议还是积极彩超检查看看。
平时注意用温开水清洗外阴保持局部清洁，禁食辛辣刺激性的十物,平时注意用温开水清洗外阴保持局部清洁，禁食辛辣刺激性的食物
挂线术治疗：在浓肿切开引流时，若发现明确的内口，可行挂线术进行治疗。,挂线术治疗：在脓肿切开引流时，若发现明确的内口，可行挂线术进行治疗。
饮食清淡为宜，勿食辛热煎炒的食物，室内常通风，注意家居卫生，避免过敏源，如慢充、花粉等。,饮食清淡为宜，勿食辛热煎炒的食物，室内常通风，注意家居卫生，避免过敏源，如螨虫、花粉等。
咳嗽吃药治疗没这么快好，一般吃2一3天观察疗效如无好转需去医院进一步检查大便干结请多喂水喝点菜汤果汁如果加重了需要到医院停诊肺部，听下医生的建议,咳嗽吃药治疗没这么快好，一般吃2一3天观察疗效如无好转需去医院进一步检查大便干结请多喂水喝点菜汤果汁如果加重了需要到医院听诊肺部，听下医生的建议
不会的，建议积极的在医生当面指导下口服氟派酸.环丙沙星.三金片.蒲地蓝消炎片等药物一块治疗，同时注意多补充水分帮助细菌从尿路排除。,不会的，建议积极的在医生当面指导下口服氟哌酸.环丙沙星.三金片.蒲地蓝消炎片等药物一块治疗，同时注意多补充水分帮助细菌从尿路排除。
治疗尖锐湿疣，建义你详细了解，分辨优劣，尽快治疗。,治疗尖锐湿疣，建议你详细了解，分辨优劣，尽快治疗。
"尖锐湿疣的治疗关键是枝疗方法一定要正确.不要喝纠,牛,羊,狗肉,辛辣刺激性食物也暂时不要吃,以免加重病晴及影响疗效,激光,冷冻,手术,外用药,打干扰素,白介素,转移因子,胸腺肽,甘露聚糖肽等抗病毒药物都有效果,但是可能复发.","尖锐湿疣的治疗关键是治疗方法一定要正确.不要喝酒,牛,羊,狗肉,辛辣刺激性食物也暂时不要吃,以免加重病情及影响疗效,激光,冷冻,手术,外用药,打干扰素,白介素,转移因子,胸腺肽,甘露聚糖肽等抗病毒药物都有效果,但是可能复发."
现在用了哪些药物？没有用过耀武治疗？那你现在反复长痘痘的地方，可以外涂阿达帕林，每晚一次，局部做好保湿，痘印要明显效果，可以选择光子嫩肤,现在用了哪些药物？没有用过药物治疗？那你现在反复长痘痘的地方，可以外涂阿达帕林，每晚一次，局部做好保湿，痘印要明显效果，可以选择光子嫩肤
